Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
NIFTY-FUT,08-02-2024 09:15:00,22055.00,22087.00,21988.30,22014.90,1873350,12097650
NIFTY-FUT,08-02-2024 10:15:00,22015.70,22045.80,21810.00,21840.00,2822250,12095250
NIFTY-FUT,08-02-2024 11:15:00,21841.30,21906.30,21829.80,21895.60,1610950,12151100
NIFTY-FUT,08-02-2024 12:15:00,21895.60,21910.00,21861.60,21896.90,825150,12119500
NIFTY-FUT,08-02-2024 13:15:00,21899.00,21905.20,21825.30,21829.30,843300,12223050
NIFTY-FUT,08-02-2024 14:15:00,21826.50,21857.00,21768.00,21819.80,2283900,12561100
NIFTY-FUT,08-02-2024 15:15:00,21819.00,21835.70,21810.00,21814.60,684800,12291900
NIFTY-FUT,09-02-2024 09:15:00,21809.90,21844.00,21710.60,21808.00,2294350,12346850
NIFTY-FUT,09-02-2024 10:15:00,21810.00,21815.00,21674.20,21728.50,1230050,12366650
NIFTY-FUT,09-02-2024 11:15:00,21728.00,21810.00,21690.20,21787.00,1082100,12259750
NIFTY-FUT,09-02-2024 12:15:00,21787.00,21832.10,21777.80,21818.50,748750,12053900
NIFTY-FUT,09-02-2024 13:15:00,21818.50,21842.40,21763.30,21829.70,655700,12028250
NIFTY-FUT,09-02-2024 14:15:00,21829.90,21867.40,21812.00,21841.00,1137800,11987400
NIFTY-FUT,09-02-2024 15:15:00,21840.70,21850.00,21831.00,21842.60,412700,11684900
NIFTY-FUT,12-02-2024 09:15:00,21905.60,22088.70,21759.00,21775.00,1609550,11906850
NIFTY-FUT,12-02-2024 10:15:00,21777.50,21804.50,21725.30,21796.00,1003550,12015300
NIFTY-FUT,12-02-2024 11:15:00,21798.00,21809.00,21683.50,21719.10,996650,12116650
NIFTY-FUT,12-02-2024 12:15:00,21717.50,21762.00,21662.00,21699.10,1081850,12199450
NIFTY-FUT,12-02-2024 13:15:00,21699.10,21778.90,21678.80,21775.00,666850,12162900
NIFTY-FUT,12-02-2024 14:15:00,21777.00,21782.80,21672.80,21683.20,843900,12085600
NIFTY-FUT,12-02-2024 15:15:00,21686.00,21712.10,21670.00,21697.80,511250,11851500
NIFTY-FUT,13-02-2024 09:15:00,21720.20,21788.00,21626.50,21781.70,2141750,12183050
NIFTY-FUT,13-02-2024 10:15:00,21783.50,21825.00,21747.70,21821.00,1016250,12173950
NIFTY-FUT,13-02-2024 11:15:00,21822.00,21828.80,21702.00,21702.00,786100,12258100
