Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
BANKNIFTY-FUT,08-02-2024 09:15:00,46276.30,46300.90,46227.60,46252.30,97755,3181440
BANKNIFTY-FUT,08-02-2024 09:20:00,46247.00,46280.40,46246.80,46255.70,43980,3183870
BANKNIFTY-FUT,08-02-2024 09:25:00,46265.00,46341.70,46253.60,46335.60,83475,3185865
BANKNIFTY-FUT,08-02-2024 09:30:00,46336.60,46387.20,46320.00,46326.80,120795,3191310
BANKNIFTY-FUT,08-02-2024 09:35:00,46326.10,46336.90,46277.00,46293.20,50685,3193545
BANKNIFTY-FUT,08-02-2024 09:40:00,46290.10,46312.00,46270.10,46301.80,29430,3204495
BANKNIFTY-FUT,08-02-2024 09:45:00,46299.90,46318.90,46233.50,46294.60,37530,3220485
BANKNIFTY-FUT,08-02-2024 09:50:00,46288.80,46299.80,46253.70,46277.80,22380,3220350
BANKNIFTY-FUT,08-02-2024 09:55:00,46281.60,46342.70,46265.20,46300.90,45945,3204855
BANKNIFTY-FUT,08-02-2024 10:00:00,46296.10,46410.00,46275.10,46410.00,79170,3195870
BANKNIFTY-FUT,08-02-2024 10:05:00,46460.00,46475.70,46245.60,46258.50,182430,3190650
BANKNIFTY-FUT,08-02-2024 10:10:00,46240.00,46298.20,46190.00,46285.00,114600,3208380
BANKNIFTY-FUT,08-02-2024 10:15:00,46285.00,46286.80,46185.90,46251.90,66930,3192960
BANKNIFTY-FUT,08-02-2024 10:20:00,46245.10,46265.00,46200.00,46248.00,24315,3190920
BANKNIFTY-FUT,08-02-2024 10:25:00,46246.00,46290.00,46222.00,46238.70,39300,3185745
BANKNIFTY-FUT,08-02-2024 10:30:00,46238.40,46276.70,46220.90,46255.00,23745,3183030
BANKNIFTY-FUT,08-02-2024 10:35:00,46250.40,46307.80,46231.00,46287.00,28140,3177600
BANKNIFTY-FUT,08-02-2024 10:40:00,46274.90,46283.90,46116.60,46120.90,96225,3165435
BANKNIFTY-FUT,08-02-2024 10:45:00,46133.20,46186.60,46101.80,46182.80,65160,3168945
BANKNIFTY-FUT,08-02-2024 10:50:00,46180.90,46206.80,46131.10,46131.10,48300,3160800
BANKNIFTY-FUT,08-02-2024 10:55:00,46138.80,46150.00,45876.70,45886.40,213435,3174045
BANKNIFTY-FUT,08-02-2024 11:00:00,45875.90,45875.90,45530.00,45572.10,380130,3207345
BANKNIFTY-FUT,08-02-2024 11:05:00,45573.30,45650.00,45463.20,45567.60,190125,3191175
BANKNIFTY-FUT,08-02-2024 11:10:00,45578.80,45685.10,45564.80,45640.20,91920,3177495
BANKNIFTY-FUT,08-02-2024 11:15:00,45640.00,45670.80,45592.60,45623.50,63600,3185145
BANKNIFTY-FUT,08-02-2024 11:20:00,45624.80,45647.30,45582.60,45632.90,53670,3201450
BANKNIFTY-FUT,08-02-2024 11:25:00,45631.50,45695.00,45618.30,45662.00,42105,3212370
BANKNIFTY-FUT,08-02-2024 11:30:00,45662.60,45674.90,45565.00,45579.10,43125,3219690
BANKNIFTY-FUT,08-02-2024 11:35:00,45583.40,45667.90,45565.90,45645.80,22740,3225645
BANKNIFTY-FUT,08-02-2024 11:40:00,45645.80,45659.80,45601.30,45608.20,30705,3237270
BANKNIFTY-FUT,08-02-2024 11:45:00,45605.00,45633.00,45578.60,45624.80,22080,3245655
BANKNIFTY-FUT,08-02-2024 11:50:00,45619.90,45688.00,45610.90,45665.80,24990,3251880
BANKNIFTY-FUT,08-02-2024 11:55:00,45673.00,45713.60,45647.20,45656.80,38955,3257175
